event_name,date,latitude,longitude,rainfall_mm,temp_max_c,temp_min_c,humidity_pct,wind_speed_kmh,precipitation_hours,evapotranspiration_mm,elevation_m,river_discharge_m3s,flood_occurred
Kerala_Flood_2018,2018-08-15,9.5,76.5,126.4,23.9,22.8,100,27.1,24.0,0.63,0.0,15.37,1
Kerala_Flood_2018,2018-08-16,9.5,76.5,83.4,25.7,22.6,100,20.4,24.0,1.22,0.0,17.11,1
Kerala_Flood_2018,2018-08-17,9.5,76.5,51.4,25.9,22.6,100,19.9,24.0,1.8,0.0,15.75,1
Kerala_Flood_2018,2018-08-18,9.5,76.5,51.1,26.2,23.0,100,19.7,24.0,1.96,0.0,14.45,1
Kerala_Flood_2018,2018-08-19,9.5,76.5,37.1,26.5,23.0,100,20.4,24.0,2.3,0.0,13.39,1
Kerala_Flood_2018,2018-08-20,9.5,76.5,11.2,28.6,23.0,100,17.7,19.0,3.01,0.0,12.43,1
Kerala_Flood_2019,2019-08-08,9.55,76.52,65.4,25.4,23.2,100,16.5,24.0,1.09,2.0,27.91,1
Kerala_Flood_2019,2019-08-09,9.55,76.52,52.7,26.2,23.2,100,13.1,23.0,1.34,2.0,30.33,1
Kerala_Flood_2019,2019-08-10,9.55,76.52,51.1,25.4,22.5,100,12.5,24.0,1.02,2.0,28.85,1
Kerala_Flood_2019,2019-08-11,9.55,76.52,19.3,28.4,22.9,100,18.2,19.0,2.84,2.0,25.98,1
Kerala_Flood_2019,2019-08-12,9.55,76.52,29.4,26.3,22.6,100,15.6,24.0,1.68,2.0,27.77,1
Patna_Bihar_2019,2019-09-28,25.59,85.14,103.9,25.5,23.3,98,19.1,24.0,0.91,55.0,21.59,1
Patna_Bihar_2019,2019-09-29,25.59,85.14,81.6,25.2,23.0,98,19.1,24.0,0.7,55.0,33.83,1
Patna_Bihar_2019,2019-09-30,25.59,85.14,6.0,27.4,23.4,99,14.8,13.0,1.97,55.0,25.79,1
Patna_Bihar_2019,2019-10-01,25.59,85.14,1.0,29.0,23.4,97,8.3,10.0,3.06,55.0,18.95,1
Patna_Bihar_2019,2019-10-02,25.59,85.14,0.2,30.5,23.7,95,9.9,2.0,3.48,55.0,15.98,1
Patna_Bihar_2023,2023-09-01,25.61,85.13,0.3,34.5,26.9,91,16.6,1.0,4.75,54.0,24489.63,1
Patna_Bihar_2023,2023-09-02,25.61,85.13,16.8,33.3,27.5,93,13.7,5.0,3.25,54.0,23066.47,1
Patna_Bihar_2023,2023-09-03,25.61,85.13,10.1,35.0,27.1,97,14.8,8.0,4.45,54.0,21726.01,1
Patna_Bihar_2023,2023-09-04,25.61,85.13,19.1,31.6,26.2,98,16.9,9.0,2.8,54.0,20416.38,1
Patna_Bihar_2023,2023-09-05,25.61,85.13,2.6,32.2,26.5,97,15.0,7.0,3.09,54.0,19274.24,1
Assam_Brahmaputra_2022,2022-06-17,26.14,91.74,55.2,26.6,22.8,99,8.7,20.0,1.6,55.0,7.71,1
Assam_Brahmaputra_2022,2022-06-18,26.14,91.74,14.2,28.5,22.4,99,7.4,15.0,3.3,55.0,6.74,1
Assam_Brahmaputra_2022,2022-06-19,26.14,91.74,13.2,29.7,23.1,100,6.4,15.0,3.54,55.0,8.29,1
Assam_Brahmaputra_2022,2022-06-20,26.14,91.74,6.7,28.4,23.5,98,8.1,15.0,3.03,55.0,6.13,1
