event_name,date,latitude,longitude,rainfall_mm,antecedent_7day_mm,temp_max_c,temp_min_c,humidity_pct,wind_speed_kmh,precipitation_hours,evapotranspiration_mm,soil_moisture,elevation_m,river_discharge_m3s,flood_nearby,landslide_occurred
India_Kedarnath_2013,2013-06-15,30.74,79.07,18.0,53.9,10.1,3.6,99,5.1,17.0,2.91,0.488,3622.0,0.44,0,1
India_Kedarnath_2013,2013-06-16,30.74,79.07,122.3,53.9,7.3,5.1,99,4.3,24.0,1.23,0.492,3622.0,0.47,0,1
India_Kedarnath_2013,2013-06-17,30.74,79.07,157.2,53.9,7.8,4.3,97,6.2,24.0,1.23,0.491,3622.0,0.66,0,1
India_Kedarnath_2013,2013-06-18,30.74,79.07,3.3,53.9,9.1,1.1,99,4.5,11.0,3.19,0.49,3622.0,0.94,0,1
India_Kedarnath_2013,2013-06-19,30.74,79.07,0.0,53.9,9.9,0.9,97,5.5,0.0,4.39,0.488,3622.0,0.94,0,1
India_Kedarnath_2013,2013-06-20,30.74,79.07,0.0,53.9,12.3,1.9,97,7.2,0.0,4.27,0.489,3622.0,0.94,0,1
India_Kedarnath_2013,2013-06-21,30.74,79.07,0.0,53.9,13.9,3.2,90,6.7,0.0,4.49,0.482,3622.0,0.99,0,1
India_Kedarnath_2013,2013-06-22,30.74,79.07,0.3,53.9,14.5,4.4,91,5.4,1.0,4.48,0.475,3622.0,1.06,0,1
India_Kedarnath_2013,2013-06-23,30.74,79.07,0.4,53.9,13.7,5.7,94,4.4,3.0,4.04,0.47,3622.0,1.2,0,1
India_Kedarnath_2013,2013-06-24,30.74,79.07,3.8,53.9,14.2,6.4,97,5.0,7.0,3.66,0.471,3622.0,1.38,0,1
India_Kedarnath_2013,2013-06-25,30.74,79.07,1.9,53.9,12.0,5.9,97,4.4,6.0,2.42,0.476,3622.0,1.45,0,1
India_Kedarnath_2013,2013-06-26,30.74,79.07,5.7,53.9,13.2,5.3,100,6.2,10.0,2.92,0.479,3622.0,1.44,0,1
India_Kedarnath_2013,2013-06-27,30.74,79.07,11.4,53.9,13.8,5.8,99,9.2,15.0,3.16,0.484,3622.0,1.52,0,1
India_Kedarnath_2013,2013-06-28,30.74,79.07,9.1,53.9,13.3,5.8,100,7.6,11.0,3.7,0.484,3622.0,1.65,0,1
India_Kedarnath_2013,2013-06-29,30.74,79.07,4.2,53.9,13.4,3.9,99,6.3,7.0,3.69,0.482,3622.0,1.8,0,1
India_Kedarnath_2013,2013-06-30,30.74,79.07,6.5,53.9,13.6,5.6,100,5.9,10.0,3.93,0.48,3622.0,1.89,0,1
India_Kedarnath_2013,2013-07-01,30.74,79.07,3.1,53.9,13.1,5.5,99,4.6,7.0,3.68,0.476,3622.0,2.01,0,1
India_Kedarnath_2013,2013-07-02,30.74,79.07,5.0,53.9,13.2,6.6,100,6.0,12.0,3.42,0.475,3622.0,2.13,0,1
India_Kedarnath_2013,2013-07-03,30.74,79.07,6.4,53.9,12.0,7.4,98,4.2,17.0,1.76,0.485,3622.0,2.3,0,1
India_Kedarnath_2013,2013-07-04,30.74,79.07,11.5,53.9,15.7,7.0,100,6.4,13.0,3.48,0.483,3622.0,2.5,0,1
India_Kedarnath_2013,2013-07-05,30.74,79.07,12.3,53.9,12.0,7.8,100,5.2,13.0,1.86,0.488,3622.0,2.77,0,1
India_Kedarnath_2013,2013-07-06,30.74,79.07,21.8,53.9,11.6,7.9,100,3.9,20.0,1.17,0.49,3622.0,3.11,0,1
India_Kedarnath_2013,2013-07-07,30.74,79.07,4.5,53.9,11.3,7.6,100,4.2,17.0,1.43,0.488,3622.0,3.44,0,1
India_Kedarnath_2013,2013-07-08,30.74,79.07,9.5,53.9,12.5,8.3,100,4.9,16.0,2.34,0.49,3622.0,3.69,0,1
India_Kedarnath_2013,2013-07-09,30.74,79.07,1.8,53.9,13.3,7.4,100,5.7,6.0,3.68,0.486,3622.0,3.84,0,1
India_Kedarnath_2013,2013-07-10,30.74,79.07,1.0,53.9,13.1,7.7,99,5.7,4.0,3.96,0.486,3622.0,3.97,0,1
India_Kedarnath_2013,2013-07-11,30.74,79.07,13.9,53.9,13.5,7.3,100,5.6,16.0,3.88,0.486,3622.0,4.08,0,1
